	Mean	MCSE	StdDev	MAD	2.5%	50%	97.5%	ESS_bulk	ESS_tail	ESS_bulk/s	R_hat
theta_c_pr[3,42]	0.6588	0.002277	0.3702	0.3596	-0.1121	0.6726	1.349	26800.0	27190.0	1.438	1.0
theta_c_pr[3,43]	0.1915	0.00374	0.6307	0.6045	-1.209	0.2457	1.285	30770.0	23890.0	1.651	1.0
theta_c_pr[3,44]	-1.125	0.003132	0.72	0.7083	-2.613	-1.098	0.2156	54340.0	29330.0	2.916	1.0
theta_c_pr[3,45]	1.418	0.002982	0.5302	0.5082	0.3028	1.439	2.415	32280.0	26630.0	1.732	1.0
theta_c_pr[3,46]	0.3731	0.002468	0.45	0.432	-0.589	0.4006	1.176	34900.0	26800.0	1.873	1.0
theta_c_pr[3,47]	0.5958	0.002557	0.462	0.4473	-0.3843	0.6207	1.44	33660.0	26350.0	1.806	1.0
theta_c_pr[3,48]	-0.6041	0.003769	0.8328	0.8311	-2.289	-0.5823	0.9665	49250.0	29190.0	2.643	1.0
theta_c_pr[3,49]	-1.495	0.003104	0.6434	0.643	-2.855	-1.458	-0.3375	44610.0	27940.0	2.394	1.0
theta_c_pr[3,50]	-0.05273	0.003436	0.6891	0.6701	-1.528	-0.01288	1.197	41780.0	27220.0	2.242	1.0
theta_c_pr[3,51]	-0.7012	0.003789	0.8358	0.8397	-2.384	-0.6788	0.8796	49070.0	30460.0	2.633	1.0
theta_c_pr[3,52]	1.502	0.002124	0.2926	0.2894	0.9289	1.502	2.087	19010.0	26030.0	1.02	1.0
theta_c_pr[3,53]	0.8908	0.002556	0.4266	0.415	0.01373	0.9059	1.689	28170.0	28000.0	1.512	1.0
theta_c_pr[3,54]	-0.1315	0.003683	0.7379	0.7222	-1.701	-0.08997	1.201	41660.0	29000.0	2.236	1.0
theta_c_pr[3,55]	-2.281	0.002834	0.592	0.5837	-3.533	-2.248	-1.211	45980.0	27170.0	2.468	1.0
theta_c_pr[3,56]	0.588	0.004881	1.08	1.086	-1.543	0.5988	2.66	49270.0	27870.0	2.644	1.0
theta_c_pr[3,57]	-0.131	0.003046	0.6123	0.5919	-1.455	-0.08524	0.953	43430.0	27060.0	2.331	1.0
theta_c_pr[3,58]	-0.2309	0.002128	0.3807	0.3671	-1.054	-0.2076	0.4434	33540.0	26110.0	1.8	1.0
theta_c_pr[3,59]	-1.534	0.002944	0.604	0.6005	-2.819	-1.502	-0.449	43500.0	29370.0	2.334	1.0
theta_c_pr[3,60]	0.04762	0.002637	0.5009	0.4788	-1.036	0.08592	0.9345	38520.0	25760.0	2.067	1.0
theta_c_pr[3,61]	-0.07683	0.003029	0.5938	0.573	-1.375	-0.03127	0.9552	41250.0	28050.0	2.214	1.0
theta_c_pr[3,62]	0.7885	0.002776	0.471	0.4535	-0.2147	0.8143	1.647	29590.0	27620.0	1.588	1.0
theta_c_pr[3,63]	-0.3834	0.003348	0.6544	0.6396	-1.789	-0.3449	0.7764	39850.0	28600.0	2.139	1.0
theta_c_pr[3,64]	1.094	0.003846	0.739	0.708	-0.5218	1.143	2.401	39340.0	26890.0	2.111	1.0
theta_c_pr[3,65]	-0.7261	0.003635	0.8189	0.8124	-2.381	-0.7061	0.8187	51430.0	29990.0	2.76	1.0
theta_c_pr[3,66]	0.6406	0.002838	0.4948	0.4827	-0.3836	0.6577	1.574	30720.0	27530.0	1.649	1.0
theta_c_pr[3,67]	0.7936	0.003588	0.7346	0.7178	-0.7724	0.8424	2.1	44160.0	27920.0	2.37	1.0
theta_c_pr[3,68]	0.2785	0.002662	0.4674	0.455	-0.7242	0.3082	1.113	32280.0	25020.0	1.732	1.0
theta_c_pr[3,69]	-0.1246	0.003364	0.6264	0.6008	-1.482	-0.07516	0.9798	36980.0	25640.0	1.984	1.0
theta_c_pr[3,70]	0.1797	0.002698	0.4979	0.4764	-0.9106	0.2144	1.064	36160.0	26000.0	1.94	1.0
theta_c_pr[3,71]	-0.6083	0.00302	0.6139	0.5955	-1.946	-0.5645	0.4728	43880.0	28220.0	2.355	1.0
theta_c_pr[3,72]	-0.211	0.003329	0.6742	0.6528	-1.685	-0.1589	0.9803	44490.0	25860.0	2.387	1.0
theta_c_pr[3,73]	-0.1072	0.004	0.9331	0.9282	-1.962	-0.09434	1.682	54680.0	29640.0	2.934	1.0
theta_c_pr[3,74]	-0.6588	0.003345	0.6773	0.6604	-2.114	-0.6141	0.5443	43310.0	27670.0	2.324	1.0
theta_c_pr[3,75]	-0.501	0.00372	0.8014	0.8072	-2.157	-0.4637	0.9829	47280.0	29770.0	2.537	1.0
theta_c_pr[3,76]	-0.4343	0.00329	0.6858	0.6685	-1.896	-0.3941	0.8082	46010.0	26660.0	2.469	1.0
theta_c_pr[3,77]	0.2359	0.003147	0.6156	0.5885	-1.104	0.281	1.333	39860.0	27760.0	2.139	1.0
theta_c_pr[3,78]	-1.978	0.002859	0.6415	0.6388	-3.3	-1.95	-0.8007	51710.0	29240.0	2.775	1.0
theta_c_pr[3,79]	-0.3408	0.003455	0.6878	0.6733	-1.818	-0.2909	0.8736	42100.0	26220.0	2.259	1.0
theta_c_pr[3,80]	1.004	0.002059	0.3252	0.3194	0.3447	1.01	1.627	25040.0	27380.0	1.344	1.0
theta_c_pr[3,81]	-0.00234	0.003171	0.5993	0.5786	-1.314	0.04134	1.05	37730.0	26750.0	2.024	1.0
theta_c_pr[3,82]	1.022	0.002496	0.4388	0.4249	0.09904	1.042	1.828	31610.0	26640.0	1.696	1.0
theta_c_pr[3,83]	1.002	0.002535	0.4662	0.4524	0.02467	1.024	1.86	34920.0	27300.0	1.874	1.0
theta_c_pr[3,84]	0.3834	0.002417	0.4153	0.4031	-0.5036	0.4055	1.138	29970.0	28390.0	1.608	1.0
theta_c_pr[3,85]	1.03	0.001915	0.2993	0.2925	0.428	1.034	1.61	24470.0	28260.0	1.313	1.0
theta_c_pr[3,86]	0.1919	0.003024	0.6075	0.5875	-1.132	0.2312	1.256	43230.0	25730.0	2.32	1.0
theta_c_pr[3,87]	-0.1631	0.003025	0.531	0.5251	-1.303	-0.1254	0.7683	32170.0	26190.0	1.726	1.0
theta_c_pr[3,88]	0.2546	0.002504	0.4257	0.408	-0.6649	0.2811	1.018	30220.0	24640.0	1.622	1.0
theta_c_pr[3,89]	-0.03871	0.002807	0.4892	0.4657	-1.125	0.0004977	0.8071	33000.0	24620.0	1.771	1.0
theta_c_pr[3,90]	1.213	0.002643	0.4522	0.4386	0.2779	1.23	2.063	29620.0	28190.0	1.589	1.0
theta_c_pr[3,91]	-0.3608	0.00338	0.6666	0.6514	-1.742	-0.3313	0.9015	39550.0	27850.0	2.122	1.0
theta_c_pr[3,92]	-1.158	0.003293	0.6759	0.675	-2.582	-1.118	0.05408	43650.0	28320.0	2.342	1.0
theta_c_pr[3,93]	-0.03855	0.003248	0.6435	0.6193	-1.445	0.006214	1.103	41490.0	26940.0	2.227	1.0
theta_c_pr[3,94]	0.8702	0.002293	0.3783	0.3654	0.08357	0.8852	1.577	27880.0	26480.0	1.496	1.0
theta_c_pr[3,95]	-1.716	0.003015	0.635	0.6273	-3.065	-1.677	-0.5865	46650.0	29190.0	2.503	1.0
theta_c_pr[3,96]	0.06527	0.003878	0.8766	0.8658	-1.73	0.09347	1.702	51960.0	29030.0	2.788	1.0
theta_c_pr[3,97]	0.5755	0.002183	0.3825	0.3689	-0.2199	0.5923	1.284	31740.0	25710.0	1.703	1.0
theta_c_pr[3,98]	0.09095	0.002626	0.4994	0.4818	-0.9808	0.1212	0.986	38580.0	25780.0	2.07	1.0
theta_c_pr[3,99]	-0.1355	0.003803	0.6976	0.6858	-1.619	-0.1015	1.126	34680.0	27660.0	1.861	1.0
theta_c_pr[3,100]	-1.799	0.00298	0.5846	0.574	-3.043	-1.764	-0.7467	41160.0	27830.0	2.209	1.0
theta_c_pr[3,101]	0.5378	0.002827	0.5082	0.4964	-0.5183	0.5588	1.471	33010.0	27500.0	1.771	1.0
theta_c_pr[3,102]	0.06504	0.00273	0.4786	0.4532	-0.9905	0.1062	0.8903	32920.0	25960.0	1.767	1.0
theta_c_pr[3,103]	0.2177	0.003448	0.6719	0.6488	-1.228	0.2653	1.414	39850.0	27090.0	2.138	1.0
theta_c_pr[3,104]	-0.3831	0.00303	0.5716	0.5539	-1.635	-0.3367	0.6158	38240.0	26810.0	2.052	1.0
theta_c_pr[3,105]	-1.294	0.003274	0.7325	0.7292	-2.805	-1.272	0.07423	51190.0	28940.0	2.747	1.0
theta_c_pr[3,106]	0.2855	0.004181	1.014	1.014	-1.725	0.2913	2.247	58390.0	29180.0	3.133	1.0
theta_c_pr[3,107]	-0.86	0.003156	0.6604	0.6502	-2.26	-0.8207	0.331	45650.0	29090.0	2.45	1.0
