	Mean	MCSE	StdDev	MAD	2.5%	50%	97.5%	ESS_bulk	ESS_tail	ESS_bulk/s	R_hat
a_conf[1,68]	0.2764	0.0004428	0.07439	0.07239	0.1503	0.2698	0.4417	27650.0	27940.0	1.449	1.0
a_conf[1,69]	0.2336	0.0003955	0.06781	0.06689	0.1229	0.2261	0.3859	28610.0	29040.0	1.499	1.0
a_conf[1,70]	0.3642	0.0003364	0.07258	0.07227	0.2322	0.3608	0.5152	46200.0	31790.0	2.421	1.0
a_conf[1,71]	0.4226	0.0004431	0.08278	0.08202	0.2787	0.4165	0.6005	35240.0	31850.0	1.846	1.0
a_conf[1,72]	0.275	0.0003491	0.06713	0.0667	0.1594	0.2699	0.4212	36220.0	31630.0	1.897	1.0
a_conf[1,73]	0.3731	0.001048	0.1461	0.1615	0.1015	0.3808	0.6389	19840.0	22420.0	1.04	1.0
a_conf[1,74]	0.09681	0.000238	0.04344	0.04067	0.03103	0.09051	0.1988	32260.0	27780.0	1.69	1.0
a_conf[1,75]	0.1206	0.0003189	0.05695	0.05228	0.03717	0.1118	0.2561	32160.0	29200.0	1.685	1.0
a_conf[1,76]	0.2114	0.0004639	0.08364	0.08127	0.08063	0.2001	0.4029	30790.0	26650.0	1.613	1.0
a_conf[1,77]	0.2933	0.0005021	0.08514	0.08503	0.1475	0.2859	0.4772	27990.0	27880.0	1.466	1.0
a_conf[1,78]	0.04246	0.0001236	0.0233	0.02106	0.009916	0.03834	0.09828	34250.0	29130.0	1.794	1.0
a_conf[1,79]	0.3034	0.0003947	0.07801	0.07708	0.1669	0.2977	0.4717	37980.0	30380.0	1.99	1.0
a_conf[1,80]	0.2732	0.0003106	0.05809	0.05676	0.1744	0.2683	0.4006	34600.0	31610.0	1.813	1.0
a_conf[1,81]	0.3639	0.0005297	0.09925	0.09976	0.1832	0.3594	0.5705	34460.0	26790.0	1.806	1.0
a_conf[1,82]	0.2693	0.0004087	0.07377	0.07281	0.145	0.2621	0.4303	31670.0	28840.0	1.659	1.0
a_conf[1,83]	0.4048	0.0003684	0.07679	0.07694	0.2654	0.4008	0.5649	43420.0	32620.0	2.275	1.0
a_conf[1,84]	0.5126	0.0004006	0.08629	0.08639	0.3508	0.51	0.6899	46820.0	30570.0	2.453	1.0
a_conf[1,85]	0.3397	0.0003829	0.07097	0.06979	0.2177	0.334	0.4936	34860.0	31980.0	1.827	1.0
a_conf[1,86]	0.2284	0.000433	0.07326	0.07085	0.1127	0.2194	0.3962	27540.0	28580.0	1.443	1.0
