participant_ID,age,missed_rt_2,missed_rt_2_gt_5,missed_rt_2_gt_10,missed_rt_2_gt_20,short_rt_2,short_rt_2_gt_5,short_rt_2_gt_10,short_rt_2_gt_20
5464,19,0,0,0,0,0,0,0,0
5998,21,0,0,0,0,4,0,0,0
2599,19,0,0,0,0,0,0,0,0
304,21,1,0,0,0,0,0,0,0
406,18,0,0,0,0,0,0,0,0
4771,17,2,0,0,0,1,0,0,0
3880,19,0,0,0,0,1,0,0,0
6250,24,0,0,0,0,6,1,0,0
595,24,0,0,0,0,12,1,1,0
389,24,0,0,0,0,3,0,0,0
559,11,1,0,0,0,6,1,0,0
132,20,0,0,0,0,38,1,1,1
5139,22,0,0,0,0,1,0,0,0
578,25,0,0,0,0,0,0,0,0
519,25,0,0,0,0,0,0,0,0
6696,15,0,0,0,0,0,0,0,0
5323,19,0,0,0,0,1,0,0,0
4580,17,0,0,0,0,13,1,1,0
152,10,3,0,0,0,11,1,1,0
4329,12,2,0,0,0,3,0,0,0
6205,15,0,0,0,0,3,0,0,0
5534,12,3,0,0,0,2,0,0,0
2809,17,3,0,0,0,0,0,0,0
351,15,0,0,0,0,4,0,0,0
141,10,0,0,0,0,0,0,0,0
5056,10,0,0,0,0,119,1,1,1
4683,15,2,0,0,0,0,0,0,0
2815,18,3,0,0,0,28,1,1,1
301,12,0,0,0,0,0,0,0,0
543,11,0,0,0,0,7,1,0,0
194,16,1,0,0,0,1,0,0,0
346,16,0,0,0,0,21,1,1,1
6573,13,0,0,0,0,3,0,0,0
4872,11,1,0,0,0,5,0,0,0
7676,11,0,0,0,0,0,0,0,0
9,10,3,0,0,0,7,1,0,0
1801,20,0,0,0,0,0,0,0,0
5712,21,1,0,0,0,0,0,0,0
4987,19,0,0,0,0,7,1,0,0
6040,11,2,0,0,0,76,1,1,1
79,13,0,0,0,0,0,0,0,0
4667,19,5,0,0,0,7,1,0,0
214,22,0,0,0,0,1,0,0,0
584,24,1,0,0,0,2,0,0,0
6353,22,0,0,0,0,63,1,1,1
3237,25,1,0,0,0,121,1,1,1
4448,24,1,0,0,0,4,0,0,0
256,18,1,0,0,0,3,0,0,0
5242,20,0,0,0,0,42,1,1,1
3455,24,0,0,0,0,73,1,1,1
408,20,1,0,0,0,0,0,0,0
4572,25,0,0,0,0,5,0,0,0
30,16,3,0,0,0,4,0,0,0
4362,18,0,0,0,0,107,1,1,1
4461,12,0,0,0,0,1,0,0,0
4538,11,6,1,0,0,11,1,1,0
594,20,1,0,0,0,0,0,0,0
2225,25,0,0,0,0,0,0,0,0
569,25,2,0,0,0,2,0,0,0
3912,18,1,0,0,0,4,0,0,0
5038,19,0,0,0,0,0,0,0,0
4586,11,0,0,0,0,18,1,1,0
4192,12,0,0,0,0,0,0,0,0
2282,12,68,1,1,1,19,1,1,0
535,25,3,0,0,0,5,0,0,0
6733,13,0,0,0,0,0,0,0,0
7136,23,0,0,0,0,0,0,0,0
5743,21,7,1,0,0,23,1,1,1
4191,12,2,0,0,0,12,1,1,0
5023,13,1,0,0,0,1,0,0,0
