parameter,parameter_name,session,subject_id,age,param_value,age_group
b2,Punishment Sensitivity,2,83,10.0,25.28,10-15
b2,Punishment Sensitivity,2,159,16.0,2.866,15-20
b2,Punishment Sensitivity,2,6138,15.0,20.01,10-15
b2,Punishment Sensitivity,2,4172,10.0,12.5,10-15
b2,Punishment Sensitivity,2,3798,16.0,9.809,15-20
b2,Punishment Sensitivity,2,5278,12.0,8.606,10-15
b2,Punishment Sensitivity,2,5820,24.0,24.68,20-25
b2,Punishment Sensitivity,2,4348,11.0,6.066,10-15
b2,Punishment Sensitivity,2,197,10.0,12.75,10-15
b2,Punishment Sensitivity,2,3596,25.0,10.29,20-25
b2,Punishment Sensitivity,2,1780,19.0,14.86,15-20
b2,Punishment Sensitivity,2,583,20.0,22.85,15-20
b2,Punishment Sensitivity,2,5673,10.0,7.85,10-15
b2,Punishment Sensitivity,2,6215,22.0,5.751,20-25
b2,Punishment Sensitivity,2,404,23.0,13.88,20-25
b2,Punishment Sensitivity,2,7308,10.0,9.646,10-15
b2,Punishment Sensitivity,2,2039,21.0,8.164,20-25
b2,Punishment Sensitivity,2,2085,11.0,8.2,10-15
b2,Punishment Sensitivity,2,5720,15.0,11.42,10-15
b2,Punishment Sensitivity,2,7534,23.0,21.96,20-25
b2,Punishment Sensitivity,2,321,16.0,8.796,15-20
b2,Punishment Sensitivity,2,4824,20.0,1.883,15-20
b2,Punishment Sensitivity,2,4673,22.0,15.46,20-25
b2,Punishment Sensitivity,2,5359,25.0,16.9,20-25
b2,Punishment Sensitivity,2,3457,20.0,18.77,15-20
b2,Punishment Sensitivity,2,2559,12.0,24.37,10-15
b2,Punishment Sensitivity,2,223,26.0,12.94,20-25
b2,Punishment Sensitivity,2,2791,22.0,5.083,20-25
b2,Punishment Sensitivity,2,1571,23.0,10.26,20-25
b2,Punishment Sensitivity,2,5496,10.0,15.95,10-15
b2,Punishment Sensitivity,2,17,21.0,26.56,20-25
b2,Punishment Sensitivity,2,6521,11.0,7.26,10-15
b2,Punishment Sensitivity,2,45,13.0,9.466,10-15
b2,Punishment Sensitivity,2,78,12.0,8.459,10-15
b2,Punishment Sensitivity,2,5247,17.0,16.17,15-20
b2,Punishment Sensitivity,2,5732,14.0,19.78,10-15
b2,Punishment Sensitivity,2,7314,14.0,7.961,10-15
b2,Punishment Sensitivity,2,285,23.0,27.54,20-25
b2,Punishment Sensitivity,2,2402,13.0,21.65,10-15
b2,Punishment Sensitivity,2,4729,16.0,7.302,15-20
b2,Punishment Sensitivity,2,4727,16.0,5.824,15-20
b2,Punishment Sensitivity,2,138,23.0,15.06,20-25
b2,Punishment Sensitivity,2,26,25.0,15.63,20-25
b2,Punishment Sensitivity,2,3268,25.0,7.002,20-25
b2,Punishment Sensitivity,2,4582,11.0,14.0,10-15
b2,Punishment Sensitivity,2,461,15.0,11.34,10-15
b2,Punishment Sensitivity,2,2715,15.0,15.61,10-15
b2,Punishment Sensitivity,2,174,23.0,7.65,20-25
b2,Punishment Sensitivity,2,4661,23.0,3.731,20-25
b2,Punishment Sensitivity,2,429,16.0,6.317,15-20
b2,Punishment Sensitivity,2,5855,12.0,5.297,10-15
b2,Punishment Sensitivity,2,4314,21.0,6.18,20-25
b2,Punishment Sensitivity,2,5893,21.0,14.99,20-25
b2,Punishment Sensitivity,2,4533,23.0,22.35,20-25
b2,Punishment Sensitivity,2,293,20.0,8.453,15-20
b2,Punishment Sensitivity,2,6631,12.0,5.178,10-15
b2,Punishment Sensitivity,2,3790,16.0,13.61,15-20
b2,Punishment Sensitivity,2,5267,10.0,17.47,10-15
b2,Punishment Sensitivity,2,626,14.0,12.23,10-15
b2,Punishment Sensitivity,2,3991,22.0,18.75,20-25
b2,Punishment Sensitivity,2,3534,26.0,6.35,20-25
b2,Punishment Sensitivity,2,3330,25.0,19.13,20-25
b2,Punishment Sensitivity,2,5314,21.0,5.262,20-25
b2,Punishment Sensitivity,2,302,13.0,6.59,10-15
b2,Punishment Sensitivity,2,4947,13.0,6.015,10-15
b2,Punishment Sensitivity,2,210,11.0,22.26,10-15
b2,Punishment Sensitivity,2,228,14.0,11.34,10-15
b2,Punishment Sensitivity,2,3456,14.0,5.493,10-15
b2,Punishment Sensitivity,2,4200,14.0,25.44,10-15
b2,Punishment Sensitivity,2,240,13.0,13.46,10-15
b2,Punishment Sensitivity,2,6416,17.0,7.621,15-20
b2,Punishment Sensitivity,2,7612,12.0,1.618,10-15
b2,Punishment Sensitivity,2,1456,14.0,4.164,10-15
b2,Punishment Sensitivity,2,33,11.0,8.549,10-15
b2,Punishment Sensitivity,2,4004,17.0,6.931,15-20
b2,Punishment Sensitivity,2,592,11.0,4.605,10-15
b2,Punishment Sensitivity,2,7547,13.0,5.124,10-15
b2,Punishment Sensitivity,2,6072,12.0,11.75,10-15
b2,Punishment Sensitivity,2,266,16.0,3.991,15-20
b2,Punishment Sensitivity,2,1981,13.0,19.96,10-15
b2,Punishment Sensitivity,2,218,11.0,12.33,10-15
b2,Punishment Sensitivity,2,5963,11.0,11.57,10-15
b2,Punishment Sensitivity,2,3632,21.0,22.69,20-25
b2,Punishment Sensitivity,2,1843,14.0,14.76,10-15
b2,Punishment Sensitivity,2,587,15.0,17.21,10-15
b2,Punishment Sensitivity,2,3054,25.0,20.21,20-25
b2,Punishment Sensitivity,2,75,17.0,20.69,15-20
b2,Punishment Sensitivity,2,105,12.0,12.14,10-15
b2,Punishment Sensitivity,2,5332,14.0,10.97,10-15
b2,Punishment Sensitivity,2,63,10.0,11.27,10-15
b2,Punishment Sensitivity,2,4173,13.0,11.2,10-15
b2,Punishment Sensitivity,2,5286,12.0,7.426,10-15
b2,Punishment Sensitivity,2,504,18.0,17.98,15-20
b2,Punishment Sensitivity,2,5055,21.0,9.371,20-25
b2,Punishment Sensitivity,2,2430,18.0,15.33,15-20
b2,Punishment Sensitivity,2,3535,21.0,13.66,20-25
b2,Punishment Sensitivity,2,3386,22.0,6.092,20-25
b2,Punishment Sensitivity,2,4459,19.0,14.34,15-20
b2,Punishment Sensitivity,2,5136,12.0,6.74,10-15
b2,Punishment Sensitivity,2,390,14.0,8.384,10-15
b2,Punishment Sensitivity,2,709,22.0,17.81,20-25
b2,Punishment Sensitivity,2,506,15.0,5.716,10-15
b2,Punishment Sensitivity,2,4924,16.0,6.578,15-20
b2,Punishment Sensitivity,2,4439,11.0,7.543,10-15
b2,Punishment Sensitivity,2,2915,15.0,11.57,10-15
b2,Punishment Sensitivity,2,115,15.0,1.745,10-15
b2,Punishment Sensitivity,2,3206,18.0,3.418,15-20
b2,Punishment Sensitivity,2,3193,13.0,7.489,10-15
b2,Punishment Sensitivity,2,452,18.0,11.79,15-20
b2,Punishment Sensitivity,2,2040,21.0,10.03,20-25
b2,Punishment Sensitivity,2,6,20.0,6.656,15-20
b2,Punishment Sensitivity,2,4486,18.0,10.3,15-20
b2,Punishment Sensitivity,2,1,19.0,11.65,15-20
b2,Punishment Sensitivity,2,360,18.0,14.07,15-20
b2,Punishment Sensitivity,2,478,18.0,8.458,15-20
b2,Punishment Sensitivity,2,198,18.0,22.17,15-20
b2,Punishment Sensitivity,2,217,18.0,10.04,15-20
b2,Punishment Sensitivity,2,4934,11.0,10.71,10-15
b2,Punishment Sensitivity,2,303,10.0,3.245,10-15
b2,Punishment Sensitivity,2,2761,19.0,10.02,15-20
b2,Punishment Sensitivity,2,410,10.0,4.921,10-15
b2,Punishment Sensitivity,2,3349,22.0,13.17,20-25
b2,Punishment Sensitivity,2,200,22.0,7.649,20-25
b2,Punishment Sensitivity,2,44,24.0,21.71,20-25
b2,Punishment Sensitivity,2,5152,11.0,12.6,10-15
b2,Punishment Sensitivity,2,5525,18.0,11.57,15-20
b2,Punishment Sensitivity,2,551,15.0,13.9,10-15
b2,Punishment Sensitivity,2,41,17.0,10.82,15-20
b2,Punishment Sensitivity,2,3547,25.0,21.67,20-25
b2,Punishment Sensitivity,2,76,23.0,19.55,20-25
b2,Punishment Sensitivity,2,2068,24.0,2.265,20-25
b2,Punishment Sensitivity,2,4868,21.0,6.556,20-25
b2,Punishment Sensitivity,2,381,20.0,18.03,15-20
b2,Punishment Sensitivity,2,5231,22.0,3.512,20-25
b2,Punishment Sensitivity,2,758,18.0,22.6,15-20
b2,Punishment Sensitivity,2,6380,24.0,16.28,20-25
b2,Punishment Sensitivity,2,6125,22.0,26.49,20-25
b2,Punishment Sensitivity,2,3978,19.0,10.42,15-20
b2,Punishment Sensitivity,2,209,14.0,12.71,10-15
b2,Punishment Sensitivity,2,270,17.0,11.62,15-20
b2,Punishment Sensitivity,2,5464,19.0,10.05,15-20
b2,Punishment Sensitivity,2,5998,20.0,11.32,15-20
b2,Punishment Sensitivity,2,2599,19.0,7.678,15-20
b2,Punishment Sensitivity,2,304,21.0,10.02,20-25
b2,Punishment Sensitivity,2,406,18.0,6.402,15-20
b2,Punishment Sensitivity,2,4771,17.0,10.61,15-20
b2,Punishment Sensitivity,2,3880,19.0,11.93,15-20
b2,Punishment Sensitivity,2,595,24.0,17.78,20-25
b2,Punishment Sensitivity,2,5139,22.0,16.31,20-25
b2,Punishment Sensitivity,2,578,25.0,19.06,20-25
b2,Punishment Sensitivity,2,6696,15.0,15.16,10-15
b2,Punishment Sensitivity,2,5323,19.0,11.44,15-20
b2,Punishment Sensitivity,2,373,10.0,8.553,10-15
b2,Punishment Sensitivity,2,152,10.0,9.601,10-15
b2,Punishment Sensitivity,2,5534,12.0,6.677,10-15
b3,Approach Bias,1,83,10.0,1.988,10-15
b3,Approach Bias,1,159,16.0,1.338,15-20
b3,Approach Bias,1,6138,15.0,1.015,10-15
b3,Approach Bias,1,4172,10.0,3.755,10-15
b3,Approach Bias,1,3798,16.0,1.17,15-20
b3,Approach Bias,1,5278,12.0,-0.2104,10-15
b3,Approach Bias,1,5820,24.0,0.6081,20-25
b3,Approach Bias,1,4348,11.0,0.6323,10-15
b3,Approach Bias,1,197,10.0,0.9873,10-15
b3,Approach Bias,1,3596,25.0,1.73,20-25
b3,Approach Bias,1,1780,19.0,1.432,15-20
b3,Approach Bias,1,583,20.0,0.2057,15-20
b3,Approach Bias,1,5673,10.0,1.629,10-15
b3,Approach Bias,1,6215,22.0,4.231,20-25
b3,Approach Bias,1,404,23.0,-0.2216,20-25
b3,Approach Bias,1,7308,10.0,1.293,10-15
b3,Approach Bias,1,2039,21.0,0.1328,20-25
b3,Approach Bias,1,2085,11.0,0.2395,10-15
b3,Approach Bias,1,5720,15.0,0.7711,10-15
b3,Approach Bias,1,7534,23.0,1.679,20-25
b3,Approach Bias,1,321,16.0,0.9724,15-20
b3,Approach Bias,1,4824,20.0,3.94,15-20
b3,Approach Bias,1,4673,22.0,2.899,20-25
b3,Approach Bias,1,5359,25.0,1.742,20-25
b3,Approach Bias,1,3457,20.0,0.1378,15-20
b3,Approach Bias,1,2559,12.0,1.267,10-15
b3,Approach Bias,1,223,26.0,0.4536,20-25
b3,Approach Bias,1,2791,22.0,1.235,20-25
b3,Approach Bias,1,1571,23.0,1.87,20-25
b3,Approach Bias,1,5496,10.0,1.234,10-15
b3,Approach Bias,1,17,21.0,2.403,20-25
b3,Approach Bias,1,6521,11.0,2.546,10-15
b3,Approach Bias,1,45,13.0,3.235,10-15
b3,Approach Bias,1,78,12.0,4.191,10-15
b3,Approach Bias,1,5247,17.0,1.5,15-20
b3,Approach Bias,1,5732,14.0,1.827,10-15
b3,Approach Bias,1,7314,14.0,-0.5235,10-15
b3,Approach Bias,1,285,23.0,1.537,20-25
b3,Approach Bias,1,2402,13.0,1.989,10-15
b3,Approach Bias,1,4729,16.0,4.411,15-20
b3,Approach Bias,1,4727,16.0,4.887,15-20
b3,Approach Bias,1,138,23.0,2.88,20-25
b3,Approach Bias,1,26,25.0,1.451,20-25
b3,Approach Bias,1,3268,25.0,2.912,20-25
b3,Approach Bias,1,4582,11.0,0.2627,10-15
b3,Approach Bias,1,461,15.0,3.49,10-15
b3,Approach Bias,1,2715,15.0,1.382,10-15
b3,Approach Bias,1,174,23.0,2.018,20-25
b3,Approach Bias,1,4661,23.0,1.81,20-25
b3,Approach Bias,1,429,16.0,1.006,15-20
b3,Approach Bias,1,5855,12.0,3.484,10-15
b3,Approach Bias,1,4314,21.0,2.817,20-25
b3,Approach Bias,1,5893,21.0,0.3412,20-25
b3,Approach Bias,1,4533,23.0,0.9071,20-25
b3,Approach Bias,1,293,20.0,1.351,15-20
b3,Approach Bias,1,6631,12.0,-1.58,10-15
b3,Approach Bias,1,3790,16.0,1.147,15-20
b3,Approach Bias,1,5267,10.0,1.926,10-15
b3,Approach Bias,1,626,14.0,2.035,10-15
b3,Approach Bias,1,3991,22.0,0.966,20-25
b3,Approach Bias,1,3534,26.0,0.7204,20-25
b3,Approach Bias,1,3330,25.0,0.9149,20-25
b3,Approach Bias,1,5314,21.0,1.136,20-25
b3,Approach Bias,1,302,13.0,2.337,10-15
b3,Approach Bias,1,4947,13.0,1.223,10-15
b3,Approach Bias,1,210,11.0,0.8652,10-15
b3,Approach Bias,1,228,14.0,1.169,10-15
b3,Approach Bias,1,3456,14.0,0.4611,10-15
b3,Approach Bias,1,4200,14.0,1.47,10-15
b3,Approach Bias,1,240,13.0,0.112,10-15
b3,Approach Bias,1,6416,17.0,1.122,15-20
b3,Approach Bias,1,7612,12.0,0.3419,10-15
b3,Approach Bias,1,1456,14.0,0.2067,10-15
b3,Approach Bias,1,33,11.0,3.113,10-15
b3,Approach Bias,1,4004,17.0,0.9321,15-20
b3,Approach Bias,1,592,11.0,3.883,10-15
b3,Approach Bias,1,7547,13.0,1.404,10-15
b3,Approach Bias,1,6072,12.0,0.9389,10-15
b3,Approach Bias,1,266,16.0,2.166,15-20
b3,Approach Bias,1,1981,13.0,0.406,10-15
b3,Approach Bias,1,218,11.0,0.7811,10-15
b3,Approach Bias,1,5963,11.0,0.5539,10-15
b3,Approach Bias,1,3632,21.0,1.85,20-25
b3,Approach Bias,1,1843,14.0,0.8413,10-15
b3,Approach Bias,1,587,15.0,1.948,10-15
b3,Approach Bias,1,3054,25.0,0.3019,20-25
b3,Approach Bias,1,75,17.0,0.6888,15-20
b3,Approach Bias,1,105,12.0,1.282,10-15
b3,Approach Bias,1,5332,14.0,0.2658,10-15
b3,Approach Bias,1,63,10.0,0.516,10-15
b3,Approach Bias,1,4173,13.0,1.87,10-15
b3,Approach Bias,1,5286,12.0,1.991,10-15
b3,Approach Bias,1,504,18.0,1.882,15-20
b3,Approach Bias,1,5055,21.0,1.615,20-25
b3,Approach Bias,1,2430,18.0,0.4056,15-20
b3,Approach Bias,1,3535,21.0,1.187,20-25
b3,Approach Bias,1,3386,22.0,1.35,20-25
b3,Approach Bias,1,4459,19.0,1.361,15-20
b3,Approach Bias,1,5136,12.0,0.2949,10-15
b3,Approach Bias,1,390,14.0,1.343,10-15
b3,Approach Bias,1,709,22.0,2.907,20-25
b3,Approach Bias,1,506,15.0,4.324,10-15
b3,Approach Bias,1,4924,16.0,0.7941,15-20
b3,Approach Bias,1,4439,11.0,0.4235,10-15
b3,Approach Bias,1,2915,15.0,0.3964,10-15
b3,Approach Bias,1,115,15.0,4.45,10-15
b3,Approach Bias,1,3206,18.0,4.005,15-20
b3,Approach Bias,1,3193,13.0,3.133,10-15
b3,Approach Bias,1,452,18.0,-0.02585,15-20
b3,Approach Bias,1,2040,21.0,1.092,20-25
b3,Approach Bias,1,6,20.0,3.509,15-20
b3,Approach Bias,1,4486,18.0,0.688,15-20
b3,Approach Bias,1,1,19.0,0.2377,15-20
b3,Approach Bias,1,360,18.0,-0.5926,15-20
b3,Approach Bias,1,478,18.0,1.013,15-20
b3,Approach Bias,1,198,18.0,2.49,15-20
b3,Approach Bias,1,217,18.0,0.5182,15-20
b3,Approach Bias,1,4934,11.0,0.8455,10-15
b3,Approach Bias,1,303,10.0,5.088,10-15
b3,Approach Bias,1,2761,19.0,0.8766,15-20
b3,Approach Bias,1,410,10.0,1.475,10-15
b3,Approach Bias,1,3349,22.0,-0.3142,20-25
b3,Approach Bias,1,200,22.0,0.8367,20-25
b3,Approach Bias,1,44,24.0,1.279,20-25
b3,Approach Bias,1,5152,11.0,0.6068,10-15
b3,Approach Bias,1,5525,18.0,-0.01956,15-20
b3,Approach Bias,1,551,15.0,1.244,10-15
b3,Approach Bias,1,41,17.0,1.603,15-20
b3,Approach Bias,1,3547,25.0,0.7696,20-25
b3,Approach Bias,1,76,23.0,0.848,20-25
b3,Approach Bias,1,2068,24.0,1.543,20-25
b3,Approach Bias,1,4868,21.0,1.722,20-25
b3,Approach Bias,1,381,20.0,-0.6032,15-20
b3,Approach Bias,1,5231,22.0,-0.3528,20-25
b3,Approach Bias,1,758,18.0,1.52,15-20
b3,Approach Bias,1,6380,24.0,0.3212,20-25
b3,Approach Bias,1,6125,22.0,1.65,20-25
b3,Approach Bias,1,3978,19.0,0.7927,15-20
b3,Approach Bias,1,209,14.0,0.4931,10-15
b3,Approach Bias,1,270,17.0,0.5827,15-20
b3,Approach Bias,1,5464,19.0,2.393,15-20
b3,Approach Bias,1,5998,20.0,0.8982,15-20
b3,Approach Bias,1,2599,19.0,0.5309,15-20
b3,Approach Bias,1,304,21.0,3.765,20-25
b3,Approach Bias,1,406,18.0,0.9071,15-20
b3,Approach Bias,1,4771,17.0,1.417,15-20
b3,Approach Bias,1,3880,19.0,4.103,15-20
b3,Approach Bias,1,595,24.0,2.485,20-25
b3,Approach Bias,1,5139,22.0,0.6664,20-25
b3,Approach Bias,1,578,25.0,2.116,20-25
b3,Approach Bias,1,6696,15.0,0.8817,10-15
b3,Approach Bias,1,5323,19.0,2.867,15-20
b3,Approach Bias,1,373,10.0,0.1978,10-15
b3,Approach Bias,1,152,10.0,0.7803,10-15
b3,Approach Bias,1,5534,12.0,2.154,10-15
b3,Approach Bias,2,83,10.0,1.114,10-15
b3,Approach Bias,2,159,16.0,0.6479,15-20
b3,Approach Bias,2,6138,15.0,-0.0287,10-15
b3,Approach Bias,2,4172,10.0,3.17,10-15
b3,Approach Bias,2,3798,16.0,-1.877,15-20
b3,Approach Bias,2,5278,12.0,-0.281,10-15
b3,Approach Bias,2,5820,24.0,0.9412,20-25
b3,Approach Bias,2,4348,11.0,-0.1046,10-15
b3,Approach Bias,2,197,10.0,1.752,10-15
b3,Approach Bias,2,3596,25.0,1.518,20-25
b3,Approach Bias,2,1780,19.0,0.8391,15-20
b3,Approach Bias,2,583,20.0,0.5869,15-20
b3,Approach Bias,2,5673,10.0,0.9414,10-15
b3,Approach Bias,2,6215,22.0,4.632,20-25
b3,Approach Bias,2,404,23.0,0.07738,20-25
b3,Approach Bias,2,7308,10.0,2.182,10-15
b3,Approach Bias,2,2039,21.0,-0.06558,20-25
b3,Approach Bias,2,2085,11.0,-0.482,10-15
b3,Approach Bias,2,5720,15.0,0.4382,10-15
b3,Approach Bias,2,7534,23.0,0.3895,20-25
b3,Approach Bias,2,321,16.0,0.4883,15-20
b3,Approach Bias,2,4824,20.0,3.853,15-20
b3,Approach Bias,2,4673,22.0,1.959,20-25
b3,Approach Bias,2,5359,25.0,0.6878,20-25
b3,Approach Bias,2,3457,20.0,-1.208,15-20
b3,Approach Bias,2,2559,12.0,0.4999,10-15
b3,Approach Bias,2,223,26.0,2.264,20-25
b3,Approach Bias,2,2791,22.0,0.5251,20-25
b3,Approach Bias,2,1571,23.0,1.447,20-25
b3,Approach Bias,2,5496,10.0,0.3661,10-15
b3,Approach Bias,2,17,21.0,1.685,20-25
b3,Approach Bias,2,6521,11.0,0.5774,10-15
b3,Approach Bias,2,45,13.0,3.704,10-15
b3,Approach Bias,2,78,12.0,3.051,10-15
b3,Approach Bias,2,5247,17.0,0.67,15-20
b3,Approach Bias,2,5732,14.0,1.428,10-15
b3,Approach Bias,2,7314,14.0,0.816,10-15
b3,Approach Bias,2,285,23.0,1.163,20-25
b3,Approach Bias,2,2402,13.0,1.667,10-15
b3,Approach Bias,2,4729,16.0,4.266,15-20
b3,Approach Bias,2,4727,16.0,4.393,15-20
b3,Approach Bias,2,138,23.0,1.809,20-25
b3,Approach Bias,2,26,25.0,0.3503,20-25
b3,Approach Bias,2,3268,25.0,1.048,20-25
b3,Approach Bias,2,4582,11.0,-0.3274,10-15
b3,Approach Bias,2,461,15.0,3.724,10-15
b3,Approach Bias,2,2715,15.0,0.4262,10-15
b3,Approach Bias,2,174,23.0,1.388,20-25
b3,Approach Bias,2,4661,23.0,1.709,20-25
b3,Approach Bias,2,429,16.0,1.727,15-20
b3,Approach Bias,2,5855,12.0,2.535,10-15
b3,Approach Bias,2,4314,21.0,2.401,20-25
b3,Approach Bias,2,5893,21.0,0.9211,20-25
b3,Approach Bias,2,4533,23.0,1.207,20-25
b3,Approach Bias,2,293,20.0,1.159,15-20
b3,Approach Bias,2,6631,12.0,-0.5977,10-15
b3,Approach Bias,2,3790,16.0,0.5809,15-20
b3,Approach Bias,2,5267,10.0,2.312,10-15
b3,Approach Bias,2,626,14.0,1.301,10-15
b3,Approach Bias,2,3991,22.0,0.6922,20-25
b3,Approach Bias,2,3534,26.0,-3.506,20-25
b3,Approach Bias,2,3330,25.0,2.573,20-25
b3,Approach Bias,2,5314,21.0,1.405,20-25
b3,Approach Bias,2,302,13.0,1.67,10-15
b3,Approach Bias,2,4947,13.0,1.074,10-15
b3,Approach Bias,2,210,11.0,1.792,10-15
b3,Approach Bias,2,228,14.0,0.6807,10-15
b3,Approach Bias,2,3456,14.0,1.276,10-15
b3,Approach Bias,2,4200,14.0,2.388,10-15
b3,Approach Bias,2,240,13.0,0.5145,10-15
b3,Approach Bias,2,6416,17.0,0.55,15-20
b3,Approach Bias,2,7612,12.0,0.2405,10-15
b3,Approach Bias,2,1456,14.0,0.4836,10-15
b3,Approach Bias,2,33,11.0,2.167,10-15
b3,Approach Bias,2,4004,17.0,1.243,15-20
b3,Approach Bias,2,592,11.0,2.009,10-15
b3,Approach Bias,2,7547,13.0,0.3056,10-15
b3,Approach Bias,2,6072,12.0,0.8196,10-15
b3,Approach Bias,2,266,16.0,4.035,15-20
b3,Approach Bias,2,1981,13.0,0.1144,10-15
b3,Approach Bias,2,218,11.0,0.08927,10-15
b3,Approach Bias,2,5963,11.0,1.055,10-15
b3,Approach Bias,2,3632,21.0,1.846,20-25
b3,Approach Bias,2,1843,14.0,1.261,10-15
b3,Approach Bias,2,587,15.0,0.4443,10-15
b3,Approach Bias,2,3054,25.0,0.3327,20-25
b3,Approach Bias,2,75,17.0,0.6958,15-20
b3,Approach Bias,2,105,12.0,1.468,10-15
b3,Approach Bias,2,5332,14.0,0.581,10-15
b3,Approach Bias,2,63,10.0,0.2436,10-15
b3,Approach Bias,2,4173,13.0,0.3825,10-15
b3,Approach Bias,2,5286,12.0,3.106,10-15
b3,Approach Bias,2,504,18.0,0.4313,15-20
b3,Approach Bias,2,5055,21.0,1.275,20-25
b3,Approach Bias,2,2430,18.0,0.23,15-20
b3,Approach Bias,2,3535,21.0,1.928,20-25
b3,Approach Bias,2,3386,22.0,1.911,20-25
b3,Approach Bias,2,4459,19.0,0.9119,15-20
b3,Approach Bias,2,5136,12.0,-2.12,10-15
b3,Approach Bias,2,390,14.0,0.9267,10-15
b3,Approach Bias,2,709,22.0,1.093,20-25
b3,Approach Bias,2,506,15.0,2.632,10-15
b3,Approach Bias,2,4924,16.0,1.544,15-20
b3,Approach Bias,2,4439,11.0,1.092,10-15
b3,Approach Bias,2,2915,15.0,0.006391,10-15
b3,Approach Bias,2,115,15.0,4.318,10-15
b3,Approach Bias,2,3206,18.0,2.691,15-20
b3,Approach Bias,2,3193,13.0,3.943,10-15
b3,Approach Bias,2,452,18.0,0.4253,15-20
b3,Approach Bias,2,2040,21.0,-0.4312,20-25
b3,Approach Bias,2,6,20.0,4.426,15-20
b3,Approach Bias,2,4486,18.0,0.9113,15-20
b3,Approach Bias,2,1,19.0,1.524,15-20
b3,Approach Bias,2,360,18.0,0.6041,15-20
b3,Approach Bias,2,478,18.0,0.8401,15-20
b3,Approach Bias,2,198,18.0,1.651,15-20
b3,Approach Bias,2,217,18.0,1.436,15-20
b3,Approach Bias,2,4934,11.0,0.2669,10-15
b3,Approach Bias,2,303,10.0,4.886,10-15
b3,Approach Bias,2,2761,19.0,1.691,15-20
b3,Approach Bias,2,410,10.0,0.3252,10-15
b3,Approach Bias,2,3349,22.0,0.8202,20-25
b3,Approach Bias,2,200,22.0,0.1237,20-25
b3,Approach Bias,2,44,24.0,1.856,20-25
b3,Approach Bias,2,5152,11.0,0.9194,10-15
b3,Approach Bias,2,5525,18.0,0.1389,15-20
b3,Approach Bias,2,551,15.0,0.3942,10-15
b3,Approach Bias,2,41,17.0,1.129,15-20
b3,Approach Bias,2,3547,25.0,0.3187,20-25
b3,Approach Bias,2,76,23.0,0.9477,20-25
b3,Approach Bias,2,2068,24.0,0.1738,20-25
b3,Approach Bias,2,4868,21.0,1.468,20-25
b3,Approach Bias,2,381,20.0,0.9447,15-20
b3,Approach Bias,2,5231,22.0,0.1058,20-25
b3,Approach Bias,2,758,18.0,1.455,15-20
b3,Approach Bias,2,6380,24.0,0.4484,20-25
b3,Approach Bias,2,6125,22.0,2.366,20-25
b3,Approach Bias,2,3978,19.0,0.807,15-20
b3,Approach Bias,2,209,14.0,0.2989,10-15
b3,Approach Bias,2,270,17.0,-0.435,15-20
b3,Approach Bias,2,5464,19.0,1.936,15-20
b3,Approach Bias,2,5998,20.0,1.178,15-20
b3,Approach Bias,2,2599,19.0,0.5807,15-20
b3,Approach Bias,2,304,21.0,0.8445,20-25
b3,Approach Bias,2,406,18.0,0.3009,15-20
b3,Approach Bias,2,4771,17.0,1.226,15-20
b3,Approach Bias,2,3880,19.0,4.198,15-20
b3,Approach Bias,2,595,24.0,1.405,20-25
b3,Approach Bias,2,5139,22.0,0.5914,20-25
b3,Approach Bias,2,578,25.0,1.733,20-25
b3,Approach Bias,2,6696,15.0,0.5798,10-15
b3,Approach Bias,2,5323,19.0,2.664,15-20
b3,Approach Bias,2,373,10.0,-0.6316,10-15
b3,Approach Bias,2,152,10.0,0.2958,10-15
b3,Approach Bias,2,5534,12.0,0.6322,10-15
b4,Avoidance Bias,1,83,10.0,0.3921,10-15
b4,Avoidance Bias,1,159,16.0,0.7273,15-20
b4,Avoidance Bias,1,6138,15.0,-0.427,10-15
b4,Avoidance Bias,1,4172,10.0,-0.08755,10-15
b4,Avoidance Bias,1,3798,16.0,-0.2668,15-20
b4,Avoidance Bias,1,5278,12.0,0.3402,10-15
b4,Avoidance Bias,1,5820,24.0,0.4777,20-25
b4,Avoidance Bias,1,4348,11.0,-0.2807,10-15
b4,Avoidance Bias,1,197,10.0,-0.3765,10-15
b4,Avoidance Bias,1,3596,25.0,0.1746,20-25
b4,Avoidance Bias,1,1780,19.0,0.3172,15-20
b4,Avoidance Bias,1,583,20.0,-0.2587,15-20
b4,Avoidance Bias,1,5673,10.0,-0.4008,10-15
b4,Avoidance Bias,1,6215,22.0,-2.647,20-25
b4,Avoidance Bias,1,404,23.0,-0.002482,20-25
b4,Avoidance Bias,1,7308,10.0,-0.4866,10-15
b4,Avoidance Bias,1,2039,21.0,0.2056,20-25
b4,Avoidance Bias,1,2085,11.0,-0.5782,10-15
b4,Avoidance Bias,1,5720,15.0,0.237,10-15
b4,Avoidance Bias,1,7534,23.0,-0.5017,20-25
b4,Avoidance Bias,1,321,16.0,0.3415,15-20
b4,Avoidance Bias,1,4824,20.0,-0.361,15-20
b4,Avoidance Bias,1,4673,22.0,1.433,20-25
b4,Avoidance Bias,1,5359,25.0,1.228,20-25
b4,Avoidance Bias,1,3457,20.0,-0.5635,15-20
b4,Avoidance Bias,1,2559,12.0,-0.139,10-15
b4,Avoidance Bias,1,223,26.0,0.8885,20-25
