	Mean	MCSE	StdDev	MAD	2.5%	50%	97.5%	ESS_bulk	ESS_tail	ESS_bulk/s	R_hat
a1[2,136]	0.1501	0.0002908	0.05851	0.05622	0.06276	0.1409	0.2857	38020.0	28320.0	0.2976	1.0
a1[2,137]	0.2388	0.0003852	0.05947	0.06012	0.1343	0.2352	0.3644	24200.0	29300.0	0.1895	1.0
a1[2,138]	0.1489	0.0002818	0.05704	0.05268	0.06536	0.1398	0.2841	40590.0	29800.0	0.3178	1.0
a1[2,139]	0.1069	0.0002682	0.0472	0.04105	0.04371	0.09716	0.2243	31560.0	29910.0	0.2471	1.0
a1[2,140]	0.129	0.0002849	0.05601	0.05152	0.05005	0.1186	0.2636	35460.0	29930.0	0.2776	1.0
a1[2,141]	0.3067	0.0005262	0.1038	0.1083	0.1164	0.3047	0.5139	35920.0	19720.0	0.2812	1.0
a1[2,142]	0.159	0.0002535	0.05573	0.05368	0.07382	0.1512	0.2873	47710.0	32270.0	0.3735	1.0
a1[2,143]	0.1388	0.000255	0.05403	0.05146	0.05691	0.1313	0.2638	40020.0	26340.0	0.3133	1.0
a1[2,144]	0.1446	0.0004435	0.08586	0.07902	0.03475	0.1264	0.354	31200.0	26000.0	0.2443	1.0
a1[2,145]	0.1645	0.0002535	0.05781	0.0554	0.07591	0.1561	0.2983	51710.0	32130.0	0.4048	1.0
a1[2,146]	0.3564	0.0008041	0.1425	0.1487	0.09574	0.3528	0.6432	28110.0	14340.0	0.2201	1.0
a1[2,147]	0.1467	0.0005835	0.1124	0.09168	0.02006	0.1158	0.4385	29420.0	28660.0	0.2303	1.0
a1[2,148]	0.1533	0.0002135	0.04951	0.04674	0.07612	0.1469	0.268	53360.0	30050.0	0.4177	1.0
a1[2,149]	0.06764	0.0003857	0.03875	0.03144	0.02135	0.05818	0.1659	8609.0	22410.0	0.0674	1.0
a1[2,150]	0.2293	0.000416	0.05795	0.05792	0.1273	0.2259	0.3524	19050.0	31670.0	0.1491	1.0
a1[2,151]	0.1589	0.0002594	0.05722	0.0552	0.07169	0.1507	0.2913	48860.0	32000.0	0.3825	1.0
a1[2,152]	0.1412	0.0005164	0.09646	0.07528	0.03312	0.1136	0.3955	32610.0	29610.0	0.2553	1.0
a1[2,153]	0.08844	0.000869	0.1092	0.05485	0.001593	0.04534	0.4033	9685.0	19400.0	0.07582	1.001
a1[2,154]	0.09227	0.0009236	0.109	0.04513	0.008758	0.04746	0.4146	12810.0	27510.0	0.1003	1.0
a1[2,155]	0.05042	0.0005002	0.06547	0.02727	0.002205	0.02622	0.2461	12070.0	23880.0	0.09452	1.0
a2[1,1]	0.06946	0.0001097	0.02096	0.01895	0.03796	0.06618	0.1192	37250.0	30530.0	0.2916	1.0
a2[1,2]	0.4124	0.0003599	0.08668	0.08431	0.2509	0.4085	0.593	58190.0	31200.0	0.4556	1.0
a2[1,3]	0.07243	0.0001599	0.03132	0.02562	0.03158	0.06561	0.1515	42550.0	31690.0	0.3331	1.0
a2[1,4]	0.0901	0.0005866	0.08644	0.05376	0.0112	0.059	0.329	16030.0	27340.0	0.1255	1.0
a2[1,5]	0.1253	0.0002972	0.03457	0.03343	0.06891	0.1215	0.2038	13050.0	29580.0	0.1022	1.0
a2[1,6]	0.1964	0.0004948	0.09464	0.08557	0.06954	0.1769	0.4298	35970.0	31870.0	0.2816	1.0
a2[1,7]	0.1592	0.0002155	0.04658	0.04718	0.08001	0.1555	0.2596	45430.0	32420.0	0.3556	1.0
a2[1,8]	0.5035	0.0004147	0.1008	0.1019	0.3101	0.502	0.7036	59620.0	32570.0	0.4667	1.0
a2[1,9]	0.07075	0.0001984	0.0394	0.02957	0.02488	0.06076	0.1734	42160.0	32540.0	0.3301	1.0
a2[1,10]	0.0695	0.0003029	0.05248	0.03049	0.02031	0.0536	0.2104	34040.0	31570.0	0.2665	1.0
a2[1,11]	0.09457	0.0002789	0.05281	0.04171	0.03215	0.08083	0.2326	39440.0	31620.0	0.3088	1.0
a2[1,12]	0.1478	0.0002276	0.04552	0.04291	0.07781	0.1414	0.2535	42610.0	32050.0	0.3336	1.0
a2[1,13]	0.1214	0.0008001	0.1324	0.0753	0.007334	0.06825	0.4908	21400.0	28390.0	0.1675	1.0
a2[1,14]	0.03259	0.0003544	0.05844	0.01503	0.00045	0.01308	0.1988	24680.0	29550.0	0.1932	1.0
a2[1,15]	0.1213	0.0004654	0.08196	0.06006	0.03288	0.09646	0.3424	33250.0	31180.0	0.2603	1.0
a2[1,16]	0.1365	0.001319	0.1677	0.05946	0.01201	0.06128	0.6298	20500.0	26710.0	0.1605	1.0
a2[1,17]	0.2342	0.0003395	0.07034	0.06993	0.1167	0.2274	0.3883	42170.0	31480.0	0.3301	1.0
a2[1,18]	0.1612	0.0004599	0.08989	0.07893	0.04628	0.1404	0.3871	33450.0	26400.0	0.2618	1.0
a2[1,19]	0.0358	0.00024	0.03764	0.01622	0.006399	0.0248	0.1364	32480.0	26750.0	0.2542	1.0
a2[1,20]	0.1544	0.0002258	0.05152	0.04895	0.07445	0.1476	0.2736	53480.0	31970.0	0.4186	1.0
a2[1,21]	0.1305	0.000318	0.06404	0.05648	0.04659	0.117	0.2889	38230.0	30400.0	0.2993	1.0
a2[1,22]	0.5977	0.001425	0.1603	0.152	0.2325	0.6114	0.8697	18490.0	7667.0	0.1448	1.0
a2[1,23]	0.2951	0.0004791	0.09164	0.09418	0.1332	0.2903	0.4875	35670.0	26120.0	0.2793	1.0
a2[1,24]	0.1144	0.0001487	0.03406	0.03199	0.06144	0.1097	0.1934	54330.0	32700.0	0.4253	1.0
a2[1,25]	0.4075	0.0002884	0.07248	0.07161	0.2649	0.4073	0.5504	63260.0	31070.0	0.4953	1.0
a2[1,26]	0.08999	0.000172	0.03053	0.02733	0.04607	0.08468	0.164	32050.0	29360.0	0.2509	1.0
a2[1,27]	0.1761	0.0003567	0.07553	0.07087	0.06819	0.1626	0.3557	42270.0	32270.0	0.3309	1.0
a2[1,28]	0.08352	0.0002123	0.03932	0.03621	0.02979	0.07597	0.1796	30540.0	28610.0	0.2391	1.0
a2[1,29]	0.138	0.0004339	0.08874	0.07276	0.03473	0.1137	0.3671	39050.0	31070.0	0.3057	1.0
a2[1,30]	0.08396	0.0003507	0.06025	0.03869	0.02362	0.06575	0.2508	32980.0	29480.0	0.2582	1.0
a2[1,31]	0.08003	0.0001484	0.02738	0.02402	0.04119	0.0754	0.1467	35610.0	29280.0	0.2788	1.0
a2[1,32]	0.07982	0.000855	0.1168	0.02813	0.004625	0.0294	0.4417	16280.0	26580.0	0.1274	1.0
