	Mean	MCSE	StdDev	MAD	2.5%	50%	97.5%	ESS_bulk	ESS_tail	ESS_bulk/s	R_hat
theta_c_pr[4,39]	0.358	0.001955	0.221	0.2205	-0.07194	0.3573	0.7983	12810.0	21700.0	0.1087	1.0
theta_c_pr[4,40]	-1.057	0.008889	1.077	0.8862	-2.67	-1.285	1.57	15890.0	24410.0	0.1348	1.0
theta_c_pr[4,41]	1.344	0.002427	0.4055	0.3847	0.5145	1.354	2.119	29240.0	21020.0	0.2481	1.0
theta_c_pr[4,42]	-0.5201	0.003977	0.5145	0.5092	-1.356	-0.5895	0.6121	16560.0	21250.0	0.1405	1.0
theta_c_pr[4,43]	-0.2419	0.002447	0.3079	0.3106	-0.8307	-0.2443	0.3714	15700.0	19130.0	0.1332	1.0
theta_c_pr[4,44]	-1.572	0.005407	0.7334	0.6443	-2.849	-1.638	0.1037	19040.0	22280.0	0.1615	1.0
theta_c_pr[4,45]	-0.1672	0.002709	0.3362	0.343	-0.7909	-0.1795	0.5146	15140.0	20370.0	0.1285	1.0
theta_c_pr[4,46]	-0.7973	0.003181	0.4566	0.4212	-1.556	-0.8489	0.2528	19930.0	21130.0	0.1691	1.0
theta_c_pr[4,47]	0.6581	0.001886	0.2325	0.2273	0.1931	0.6606	1.112	15270.0	23360.0	0.1296	1.0
theta_c_pr[4,48]	1.118	0.001965	0.2753	0.2703	0.5778	1.117	1.664	20020.0	24530.0	0.1698	1.0
theta_c_pr[4,49]	-0.6959	0.007602	0.9193	0.9022	-2.06	-0.8623	1.365	14660.0	25600.0	0.1244	1.0
theta_c_pr[4,50]	-1.037	0.005563	0.7052	0.5968	-2.084	-1.153	0.6622	17720.0	19300.0	0.1503	1.0
theta_c_pr[4,51]	-0.8896	0.007867	1.044	1.002	-2.608	-1.043	1.417	17630.0	25330.0	0.1496	1.0
theta_c_pr[4,52]	-0.5966	0.01107	1.131	1.206	-2.372	-0.7734	1.754	10450.0	21450.0	0.0887	1.0
theta_c_pr[4,53]	0.546	0.002358	0.3444	0.3499	-0.133	0.5495	1.209	21420.0	22040.0	0.1818	1.0
theta_c_pr[4,54]	0.555	0.001882	0.2438	0.2408	0.06002	0.5602	1.02	16920.0	23470.0	0.1435	1.0
theta_c_pr[4,55]	0.7567	0.0061	0.7822	0.7778	-0.8863	0.8028	2.195	17500.0	10870.0	0.1484	1.0
theta_c_pr[4,56]	-1.618	0.005819	0.7961	0.7102	-2.981	-1.704	0.2133	19410.0	20670.0	0.1647	1.0
theta_c_pr[4,57]	0.1133	0.002896	0.3885	0.3905	-0.687	0.1302	0.8353	18550.0	16980.0	0.1574	1.0
theta_c_pr[4,58]	0.2303	0.002256	0.3102	0.3079	-0.3704	0.2271	0.8493	18900.0	21780.0	0.1604	1.0
theta_c_pr[4,59]	0.9874	0.002836	0.4127	0.4008	0.1088	1.009	1.746	22890.0	15940.0	0.1942	1.0
theta_c_pr[4,60]	1.103	0.001996	0.2947	0.2876	0.5165	1.106	1.675	21910.0	24090.0	0.1859	1.0
theta_c_pr[4,61]	-0.371	0.0107	0.606	0.6722	-1.344	-0.4634	0.8401	3220.0	10370.0	0.02732	1.001
theta_c_pr[4,62]	-0.2316	0.002279	0.2863	0.2859	-0.7652	-0.2407	0.3538	15560.0	20700.0	0.1321	1.0
theta_c_pr[4,63]	-0.4172	0.005046	0.7135	0.7086	-1.535	-0.5184	1.185	19460.0	24590.0	0.1651	1.0
theta_c_pr[4,64]	-0.9353	0.004733	0.6615	0.5765	-2.013	-1.021	0.6381	19840.0	23110.0	0.1684	1.0
theta_c_pr[4,65]	-1.198	0.00628	0.7732	0.6252	-2.356	-1.342	0.7713	15990.0	20150.0	0.1357	1.0
theta_c_pr[4,66]	0.3405	0.004701	0.3281	0.3433	-0.272	0.3318	0.9855	4874.0	15250.0	0.04135	1.001
theta_c_pr[4,67]	-0.1317	0.005088	0.7202	0.7921	-1.317	-0.1876	1.341	19510.0	24560.0	0.1656	1.0
theta_c_pr[4,68]	-1.339	0.005309	0.7013	0.6048	-2.487	-1.43	0.3329	17790.0	22780.0	0.151	1.0
theta_c_pr[4,69]	-0.08037	0.002101	0.2177	0.2146	-0.5028	-0.0807	0.3506	10750.0	17010.0	0.09122	1.0
theta_c_pr[4,70]	-0.498	0.002756	0.4055	0.4026	-1.216	-0.5242	0.3611	20950.0	20470.0	0.1778	1.0
theta_c_pr[4,71]	0.1977	0.00236	0.3027	0.3012	-0.3867	0.193	0.7999	16420.0	22460.0	0.1393	1.0
theta_c_pr[4,72]	-1.231	0.008165	0.8675	0.8513	-2.758	-1.277	0.6517	10970.0	21060.0	0.09305	1.0
theta_c_pr[4,73]	-1.727	0.006844	0.8467	0.7835	-3.198	-1.805	0.1953	15590.0	20850.0	0.1323	1.0
theta_c_pr[4,74]	1.28	0.003471	0.5247	0.4984	0.1788	1.301	2.261	26530.0	14280.0	0.2251	1.0
theta_c_pr[4,75]	-0.8205	0.01138	1.092	1.067	-2.676	-0.9081	1.59	8941.0	20790.0	0.07586	1.0
theta_c_pr[4,76]	-1.319	0.005832	0.861	0.8013	-2.82	-1.407	0.5988	21820.0	27230.0	0.1851	1.0
theta_c_pr[4,77]	-1.35	0.006892	0.8385	0.7989	-2.786	-1.431	0.4967	14580.0	23890.0	0.1237	1.0
theta_c_pr[4,78]	-0.735	0.005189	0.6646	0.5811	-1.717	-0.8572	0.8992	16750.0	21770.0	0.1421	1.0
theta_c_pr[4,79]	-1.173	0.008227	0.967	0.9306	-2.783	-1.303	1.005	14090.0	25980.0	0.1195	1.0
theta_c_pr[4,80]	-0.3946	0.006107	0.4706	0.4652	-1.152	-0.4662	0.6354	5839.0	15790.0	0.04954	1.0
theta_c_pr[4,81]	-0.6731	0.002929	0.3111	0.3009	-1.236	-0.6929	-0.001841	11100.0	16830.0	0.09419	1.001
theta_c_pr[4,82]	-0.6445	0.005673	0.7108	0.7305	-1.815	-0.7146	0.8981	15230.0	22660.0	0.1292	1.0
theta_c_pr[4,83]	-0.3777	0.002356	0.2466	0.2398	-0.8512	-0.3812	0.1257	10830.0	15470.0	0.09185	1.0
theta_c_pr[4,84]	-0.08539	0.002398	0.3165	0.32	-0.6812	-0.08997	0.5453	17250.0	20330.0	0.1464	1.0
theta_c_pr[4,85]	0.0006171	0.002014	0.2398	0.2371	-0.4612	-0.001503	0.4791	14150.0	21320.0	0.1201	1.0
theta_c_pr[4,86]	0.0813	0.001945	0.1888	0.1872	-0.2919	0.08323	0.4467	9520.0	17020.0	0.08077	1.001
theta_c_pr[4,87]	-0.2412	0.002176	0.2498	0.2465	-0.7267	-0.2441	0.2594	13130.0	19710.0	0.1114	1.0
theta_c_pr[4,88]	-0.2479	0.007176	0.8918	1.001	-1.634	-0.3655	1.574	15470.0	22480.0	0.1312	1.0
theta_c_pr[4,89]	-0.04093	0.003664	0.3149	0.3024	-0.602	-0.06366	0.6409	7519.0	17990.0	0.06379	1.001
theta_c_pr[4,90]	-0.378	0.00311	0.4847	0.4764	-1.182	-0.4289	0.6923	23380.0	25050.0	0.1984	1.0
theta_c_pr[4,91]	1.118	0.002306	0.3682	0.3581	0.4032	1.113	1.856	25660.0	22190.0	0.2177	1.0
theta_c_pr[4,92]	-0.8256	0.008652	1.007	1.013	-2.488	-0.9372	1.372	13310.0	23660.0	0.1129	1.0
theta_c_pr[4,93]	-0.1402	0.002589	0.3455	0.3489	-0.768	-0.1581	0.5769	17360.0	21270.0	0.1473	1.0
theta_c_pr[4,94]	0.2717	0.003313	0.4719	0.4865	-0.6787	0.2894	1.155	20800.0	17090.0	0.1765	1.0
theta_c_pr[4,95]	0.4888	0.002002	0.2463	0.2445	0.004113	0.491	0.9689	15250.0	22260.0	0.1294	1.0
theta_c_pr[4,96]	-0.3964	0.004702	0.5252	0.4363	-1.17	-0.4862	0.9859	14920.0	11720.0	0.1266	1.0
theta_c_pr[4,97]	-1.301	0.004354	0.5797	0.4947	-2.225	-1.375	0.09362	18680.0	19410.0	0.1585	1.0
theta_c_pr[4,98]	0.4805	0.002345	0.3154	0.3126	-0.1676	0.4919	1.073	18540.0	19030.0	0.1573	1.0
theta_c_pr[4,99]	-0.9367	0.005628	0.7721	0.682	-2.081	-1.086	0.9241	19350.0	26030.0	0.1642	1.0
theta_c_pr[4,100]	0.2132	0.009099	0.5941	0.6239	-0.9354	0.3298	1.16	5025.0	6869.0	0.04263	1.002
theta_c_pr[4,101]	-0.6204	0.002902	0.3902	0.3825	-1.308	-0.6504	0.22	17180.0	19450.0	0.1458	1.0
theta_c_pr[4,102]	-1.06	0.005969	0.8967	0.8178	-2.6	-1.164	0.9639	22650.0	28200.0	0.1922	1.0
theta_c_pr[4,103]	-0.477	0.007247	0.5914	0.6449	-1.477	-0.5269	0.7148	6553.0	16260.0	0.0556	1.001
theta_c_pr[4,104]	-0.6798	0.005351	0.6068	0.5887	-1.623	-0.782	0.6955	12460.0	19880.0	0.1057	1.0
theta_c_pr[4,105]	0.6942	0.001798	0.2394	0.237	0.2148	0.6971	1.155	17870.0	23900.0	0.1516	1.0
theta_c_pr[4,106]	2.323	0.002749	0.529	0.5033	1.29	2.317	3.374	38870.0	24550.0	0.3298	1.0
