	Mean	MCSE	StdDev	MAD	2.5%	50%	97.5%	ESS_bulk	ESS_tail	ESS_bulk/s	R_hat
beta2_common[126]	6.595	0.009834	0.8896	0.8675	5.021	6.538	8.516	8169.0	20700.0	0.02473	1.0
beta2_common[127]	7.031	0.02451	1.04	1.035	5.065	7.005	9.184	1786.0	6707.0	0.005409	1.001
beta2_common[128]	2.759	0.0163	0.5767	0.5502	1.816	2.687	4.069	1318.0	4262.0	0.003992	1.002
beta2_common[129]	8.068	0.008635	1.399	1.326	5.762	7.918	11.24	27160.0	26730.0	0.08223	1.0
beta2_common[130]	5.633	0.01737	0.9585	0.9532	3.859	5.599	7.604	2994.0	10590.0	0.009066	1.001
beta2_common[131]	3.68	0.008948	0.6263	0.6169	2.556	3.645	5.012	5088.0	14710.0	0.01541	1.0
beta2_common[132]	3.195	0.01164	0.577	0.5663	2.179	3.151	4.439	2535.0	7883.0	0.007676	1.001
beta2_common[133]	3.604	0.01775	0.7203	0.7233	2.294	3.565	5.112	1678.0	6771.0	0.00508	1.001
beta2_common[134]	6.628	0.003922	0.8334	0.8291	5.106	6.589	8.364	44390.0	30010.0	0.1344	1.0
beta2_common[135]	6.174	0.00418	0.7598	0.752	4.784	6.139	7.754	33840.0	29750.0	0.1024	1.0
beta2_common[136]	4.457	0.003562	0.6979	0.6858	3.156	4.436	5.884	37130.0	26740.0	0.1124	1.0
beta2_common[137]	5.801	0.008537	0.6926	0.6871	4.539	5.767	7.253	6638.0	16650.0	0.0201	1.0
beta2_common[138]	6.524	0.01778	0.9538	0.8817	4.918	6.426	8.693	2865.0	10170.0	0.008675	1.001
beta2_common[139]	5.001	0.008416	0.6287	0.6155	3.845	4.974	6.312	5554.0	16660.0	0.01682	1.0
beta2_common[140]	7.32	0.04555	1.337	1.422	4.958	7.272	10.02	874.0	4500.0	0.002646	1.003
beta2_common[141]	3.302	0.01989	0.6647	0.6469	2.191	3.231	4.77	1154.0	4544.0	0.003494	1.002
betac_common[1]	0.9925	0.002047	0.2452	0.2402	0.527	0.9855	1.492	14630.0	19000.0	0.0443	1.0
betac_common[2]	1.366	0.01544	0.4253	0.4726	0.6818	1.338	2.244	783.1	4818.0	0.002371	1.008
betac_common[3]	0.3582	0.0007979	0.1514	0.1545	0.1066	0.3452	0.6884	32760.0	25290.0	0.0992	1.0
betac_common[4]	1.757	0.03086	0.847	0.8532	0.5868	1.642	3.685	695.9	3846.0	0.002107	1.009
betac_common[5]	0.5974	0.001617	0.1642	0.1646	0.2779	0.5971	0.9234	10130.0	12750.0	0.03067	1.0
betac_common[6]	0.57	0.001358	0.1826	0.1873	0.2278	0.5661	0.9345	18260.0	20620.0	0.05529	1.001
betac_common[7]	2.422	0.03639	1.304	1.307	0.5242	2.219	5.394	1363.0	7979.0	0.004126	1.005
betac_common[8]	0.1786	0.001285	0.1018	0.08629	0.0451	0.1577	0.4386	9220.0	9986.0	0.02792	1.001
betac_common[9]	1.222	0.004568	0.2977	0.2961	0.69	1.204	1.853	4395.0	17060.0	0.01331	1.001
betac_common[10]	0.1881	0.0004474	0.08417	0.0836	0.05636	0.1775	0.3784	33580.0	25820.0	0.1017	1.0
betac_common[11]	0.2632	0.0006258	0.1138	0.1138	0.07981	0.2506	0.516	30910.0	26340.0	0.09359	1.0
betac_common[12]	0.17	0.0005592	0.07491	0.07331	0.05291	0.1606	0.3402	19280.0	22870.0	0.05839	1.0
betac_common[13]	1.305	0.01906	0.4931	0.5668	0.5063	1.281	2.302	701.5	4116.0	0.002124	1.008
betac_common[14]	0.4448	0.001318	0.1989	0.2013	0.121	0.4246	0.8823	22360.0	25480.0	0.06771	1.0
betac_common[15]	1.14	0.003728	0.2587	0.2546	0.6644	1.13	1.678	4846.0	17500.0	0.01467	1.002
betac_common[16]	0.4785	0.001136	0.1912	0.1973	0.149	0.466	0.8809	26910.0	23240.0	0.08148	1.0
betac_common[17]	0.3364	0.002042	0.1436	0.1378	0.106	0.3202	0.6639	6209.0	9172.0	0.0188	1.001
betac_common[18]	1.514	0.003059	0.3152	0.3121	0.928	1.502	2.165	10650.0	20420.0	0.03226	1.0
betac_common[19]	0.8755	0.001898	0.2429	0.2395	0.4069	0.8736	1.364	15710.0	13300.0	0.04757	1.001
betac_common[20]	0.412	0.001016	0.1854	0.1887	0.1121	0.3928	0.8208	30980.0	25830.0	0.09381	1.0
betac_common[21]	0.35	0.002107	0.1734	0.1628	0.0939	0.3232	0.7642	8747.0	11300.0	0.02648	1.0
betac_common[22]	0.4648	0.001094	0.1541	0.1546	0.1856	0.458	0.7863	20250.0	21940.0	0.06132	1.0
betac_common[23]	0.7376	0.003719	0.2709	0.257	0.2799	0.7094	1.347	5985.0	10910.0	0.01812	1.001
betac_common[24]	1.269	0.001847	0.1857	0.1864	0.904	1.27	1.632	10170.0	16570.0	0.03078	1.0
