	Mean	MCSE	StdDev	MAD	2.5%	50%	97.5%	ESS_bulk	ESS_tail	ESS_bulk/s	R_hat
beta2_common[124]	4.975	0.003388	0.658	0.6401	3.822	4.927	6.401	38240.0	30080.0	0.1893	1.0
beta2_common[125]	5.365	0.003744	0.6911	0.6772	4.141	5.321	6.838	33590.0	29610.0	0.1663	1.0
beta2_common[126]	4.876	0.003146	0.6334	0.6225	3.762	4.831	6.24	41060.0	31760.0	0.2032	1.0
beta2_common[127]	5.113	0.007592	0.7081	0.7011	3.82	5.076	6.609	8451.0	16680.0	0.04183	1.001
beta2_common[128]	2.36	0.007398	0.4221	0.3961	1.665	2.313	3.316	3366.0	9669.0	0.01666	1.001
beta2_common[129]	6.112	0.004917	0.9801	0.924	4.498	6.013	8.31	41920.0	30800.0	0.2075	1.0
beta2_common[130]	2.629	0.008828	0.6625	0.6345	1.683	2.485	4.135	6369.0	10160.0	0.03153	1.0
beta2_common[131]	2.602	0.004515	0.4553	0.402	1.868	2.557	3.623	11920.0	13870.0	0.05899	1.001
beta2_common[132]	2.603	0.006079	0.5082	0.4914	1.747	2.555	3.713	6673.0	20880.0	0.03303	1.001
beta2_common[133]	5.378	0.01444	2.005	1.753	2.482	5.033	10.2	15060.0	17120.0	0.07453	1.0
